Time of day,Solar,Wind
0,0.10632483032293377,718.1956630669587
1,0.09393338989235542,713.7019777654625
2,0.13392490467068052,709.5545810828316
3,0.14393322888159096,704.7671061389345
4,0.13624470580186096,699.1055998896186
5,0.1715787634555738,693.6253110125889
6,0.19329247491333695,688.1898305856596
7,0.21975441570881227,683.2439524936143
8,0.28037490284619593,678.8110945242656
9,0.40772041187739466,672.2320951085568
10,8.02377123836891,667.0632465977924
11,69.15278807060756,656.4067470602992
12,215.53747959633276,642.3785804132458
13,420.45887558565954,620.5921436576355
14,649.3266207320745,595.5971729620506
15,888.4790878849662,567.8883421697683
16,1095.6785630934137,539.3493134665207
17,1234.5955543422733,514.7248107548804
18,1309.0942005993431,496.645975583835
19,1349.1166662155629,485.96677843504835
20,1369.197874488232,481.0892911777048
21,1381.2993272468527,478.34882867952933
22,1378.8589321373836,476.9679841999635
23,1374.87896143815,477.9439683447364
24,1364.9309901591864,476.24028517971175
25,1354.8722717569788,478.09094975278236
26,1344.7630439928846,481.7131182407407
27,1331.048794529739,486.63808397646415
28,1309.4375243363438,492.14562547938334
29,1283.157678271757,496.59455226144865
30,1233.8929463159095,504.3374441429484
31,1146.8982700647691,511.70464801997815
32,989.9432636726874,520.0349180692392
33,770.205021351487,525.1961406180442
34,531.0906831166758,533.3610493281336
35,315.0965200821018,546.6890597692027
36,147.80694676701333,568.3137677079912
37,43.84969415754424,594.9498181636562
38,4.963746921182266,628.1032943427294
39,0.25009778553183726,656.606745090312
40,0.18829774174420727,679.6107553005838
41,0.10956157133734719,696.9186001181354
42,0.08828922641853676,708.6484686389346
43,0.09520892948367085,714.6144038446452
44,0.0979586758803138,719.3932296455939
45,0.08008325989782887,722.4459317989417
46,0.0868575328407225,723.8221614659734
47,0.09665167031563583,722.44311002235
