Quarter,CLRKCWF1,COOPGWF1,DULAWF1,KABANWF1,KEPWF1,MEWF1
2020-03-31,0.0,0.006339258786675739,0.0,0.0,0.0,0.05939654267894823
2020-06-30,0.0,0.012572617481477755,0.0,0.0,0.0,0.09420456679264722
2020-09-30,0.0,0.015132649556461542,0.0,0.0,0.0,0.6012662993650699
2020-12-31,0.0,0.0027886833794531496,0.0,0.0,0.0,0.29282616823741414
2021-03-31,0.0,0.0011418314911713079,0.0,0.0,0.0,0.006750655556807983
2021-06-30,0.0,0.011272900690789567,0.0,0.0,0.0,0.05660417473853363
2021-09-30,0.0,0.025037148937997578,0.0,0.0,0.07856446528534256,0.08024650965843194
2021-12-31,0.0,0.029577638154256958,0.0,0.0,0.027277406236772328,0.05778757595566186
2022-03-31,0.0,0.0006872688665543469,0.0,0.0,0.01787660920844536,0.019454512747383856
2022-06-30,0.0,0.012574388290704785,0.0,0.0,0.08542139270566718,0.027017721221120006
2022-09-30,0.0,0.005086936800516639,0.0,0.0,0.08266462609632819,0.04227973766597026
2022-12-31,0.0,0.011386748277915859,0.0,0.021976457716187947,0.04716991524255665,0.06393023416626509
2023-03-31,0.0,0.0017294220106763847,0.0,0.03004057790879977,0.03562414977213191,0.028581112670846953
2023-06-30,0.0,0.02426334323838486,0.00978189932818152,0.02459075043998149,0.011821531047195077,0.0016565546202262915
2023-09-30,0.0,0.0002887217651416085,0.00982680928777313,0.01902598235960251,0.010581842934318741,0.017362283490859443
2023-12-31,0.0,4.698789857082719e-05,0.002587689023114792,0.01793692112941858,0.005512072932290724,0.05062477778477925
2024-03-31,0.0,0.0005757425923006432,0.0011591368375298838,0.0010439706095282109,0.007014111652372423,0.0
2024-06-30,0.0,0.0005173164890268644,0.0013907436911526627,0.002129770038291401,0.007079303041688245,0.030015578449663072
2024-09-30,0.0,0.035865688147220576,0.0017400755542091861,0.005876930273047365,0.009154938592207396,0.044140097939613265
2024-12-31,0.0,0.03583688395968876,0.007649275003041245,0.009751477761837601,0.011516925929986543,0.09336680094308847
