Time of day,Total demand
0,5790.403038679073
1,5662.938981937602
2,5579.437379127896
3,5512.741266192301
4,5460.761105637657
5,5427.390476190476
6,5417.020935048349
7,5418.404281153074
8,5468.137991242474
9,5538.077355409597
10,5673.09972541507
11,5786.910760810071
12,5975.108094325853
13,6093.818604269294
14,6151.536129355956
15,6032.17193851487
16,5877.797546980478
17,5688.697409231892
18,5531.016178617041
19,5386.133950009123
20,5299.341279875935
21,5256.129133369824
22,5232.951664842182
23,5253.050020981573
24,5284.684022988506
25,5339.165455208903
26,5434.8480550994345
27,5566.369064039409
28,5748.776871921183
29,5963.892130997993
30,6217.700219850392
31,6540.1432959314
32,6854.266192300675
33,7178.573604269293
34,7406.261658456486
35,7574.937983944536
36,7613.8665955117685
37,7630.187641853677
38,7499.525659551177
39,7394.082443897099
40,7280.096278963692
41,7096.158305053823
42,6910.687843459223
43,6697.1464294836705
44,6520.969948914431
45,6346.666725962416
46,6149.915970625799
47,5960.431017150156
