Quarter,Total demand
2020-03-31,6728.848675976801
2020-06-30,5834.444885531136
2020-09-30,5676.2087869867155
2020-12-31,6184.318431461353
2021-03-31,6526.625751929013
2021-06-30,5936.975230845543
2021-09-30,5833.2974769776565
2021-12-31,6104.9676668176335
2022-03-31,6561.743257330247
2022-06-30,5971.504162087913
2022-09-30,5818.895891077898
2022-12-31,5713.541827823068
2023-03-31,6483.776767746914
2023-06-30,5933.344208638584
2023-09-30,5728.342668327295
2023-12-31,6077.97963428442
2024-03-31,6871.069938568376
2024-06-30,6052.8112210012205
2024-09-30,5821.903301630435
2024-12-31,6141.7994633152175
