Quarter,ADPPV1,BNGSF1,BNGSF2,BOWWPV1,HVWWPV1,MANNSF2,MAPS2PV1,MAPS3PV1,MBPS2PV1,MWPS1PV1,MWPS2PV1,MWPS3PV1,MWPS4PV1,PAREPS1,TB2SF1,TBSF1
2020-03-31,,0.06513967959751092,0.12935257513570766,,,,,,,,,,,,,0.12763140473983847
2020-06-30,,0.06619886137958426,0.6210777174632597,,,,,,,,,,,,,0.09559115583211969
2020-09-30,,0.05199057097957045,0.07739654269250917,,,,,,,,,,,,,0.22472498690413828
2020-12-31,,0.05578837087480356,0.07124148768989,,,,,,,,,,,,,0.3657674174960712
2021-03-31,,0.04926372155287818,0.05528781793842035,,,,,,,,,0.3740294511378849,,,,0.321285140562249
2021-06-30,,0.04488282801535814,0.05256189593538991,,,,,,,0.046736396133986495,0.053488679994704094,0.07136237256719184,0.3431748973917649,,,0.1199523368198067
2021-09-30,0.9782608695652174,0.11629125196437926,0.11301728653745416,,,,,,,0.4855945521215296,0.17744892613933996,0.2434520691461498,0.22773703509690937,,,0.3495285489785228
2021-12-31,0.9904400209533787,0.1613410162388685,0.11995809324253535,,,,0.9937139863803038,,,0.10502881089575694,0.10214772132006286,0.14968569931901518,0.1179937139863803,,,0.4011262441068622
2022-03-31,0.9705488621151271,0.030789825970548863,0.03520749665327979,1.0,,,1.0,,,0.059170013386880854,0.05435073627844712,0.06613119143239625,0.05314591700133869,,,0.1248995983935743
2022-06-30,0.7628756785383292,0.05534224811333245,0.06408049781543758,0.9328743545611016,,,0.7079306235932742,,0.48126572222957764,0.2319608102740633,0.10459420097974315,0.1284257910763935,0.11876075731497418,,,0.12974976830398516
2022-09-30,0.25851231011000525,0.11485070717653222,0.09913567312729178,1.0,0.2790728129910948,,0.15963855421686746,1.0,0.15872184389732844,0.18897328444211628,0.15178103719224725,0.4850707176532216,0.18438973284442117,,,0.19172341540073337
2022-12-31,0.6347564169722367,0.13816134101623886,0.14431639601885804,0.7898114195914091,0.4676532215819801,,0.45979570455735985,1.0,0.824384494499738,0.35921948664222103,0.43255631220534313,0.5632530120481928,0.3647197485594552,0.7304871660555264,,0.38514929282346777
2023-03-31,0.5376171352074967,0.13734939759036144,0.10026773761713521,0.2866131191432396,0.24872824631860777,,0.2633199464524766,0.9836680053547523,0.21151271753681392,0.14725568942436412,0.18085676037483267,0.2353413654618474,0.1650602409638554,0.08259705488621151,,0.2860776439089692
2023-06-30,0.21223354958294718,0.10446180325698398,0.12723421157156098,0.7679067920031776,0.5381967430160202,,0.16986627830001325,0.6645041705282669,0.20137693631669534,0.15106580166821132,0.2555276049251953,0.19224149344631272,0.27710843373493976,0.04872236197537402,1.0,0.20720243611809877
2023-09-30,0.3038239916186485,0.21267679413305396,0.20835515976951283,0.856862231534835,0.21333158721843898,,0.27317967522262965,0.7100576217915139,0.4584861183865898,0.36537454164484023,0.18360398114195914,0.4381875327396543,0.29059717129387114,0.041644840230487166,0.9848088004190676,0.2794656888423258
2023-12-31,0.39091147197485593,0.428496595075956,0.3433734939759036,0.4252226296490309,0.6109219486642221,,0.26178627553693035,0.4317705605028811,0.2392613933996857,0.2915138816134102,0.46097433211105293,0.3711367207962284,0.31587218438973286,0.11668412781561027,0.8999476165531692,0.4862493452069146
2024-03-31,0.24851052561895937,0.28439030848669405,0.21527869720640805,0.23288759433337747,0.19766980007943863,0.5399179134118893,0.19886137958427116,0.18879915265457434,0.21368992453329802,0.1392824043426453,0.25817555938037867,0.3708460214484311,0.14974182444061962,0.04739838474778234,0.28637627432808155,0.3373493975903614
2024-06-30,0.17489739176486163,0.08539653117966371,0.07824705415066861,0.2420230372037601,0.4129484972858467,0.1292201774129485,0.10260823513835562,0.10658016682113068,0.16827750562690322,0.5093340394545214,0.057063418509201644,0.10763934860320402,0.05468025949953661,0.2248113332450682,0.14245994968886536,0.10989010989010989
2024-09-30,0.13423258250392875,0.3027763226820325,0.28496595075956,0.0966474594028287,0.3461236249345207,0.3170508119434259,0.1212676794133054,0.09834992142482975,0.15165007857517024,0.35856469355683607,0.18622315348349922,0.16946045049764275,0.15295966474594028,0.061157674174960715,0.3296228391828182,0.34402828706128863
2024-12-31,0.1326610790990047,0.5992666317443688,0.5377160817181771,0.09586170770036669,0.04138292299633316,0.5476689366160293,0.2752750130958617,0.45180722891566266,0.2685961236249345,0.2919067574646412,0.30984808800419067,0.3112886327920377,0.3084075432163436,0.21385542168674698,0.4567836563645888,0.5856469355683604
