DUID,Region,Capacity factor
AVLSF1,NSW,0.21377702561681175
BERYLSF1,NSW,0.23344577722748336
BOMENSF1,NSW,0.20504748290798114
BROKENH1,NSW,0.22296535990952593
COLEASF1,NSW,0.2377135130583683
CRWASF1,NSW,0.19849980557875255
DARLSF1,NSW,0.19592790573735328
FINLYSF1,NSW,0.23168059353578596
GNNDHSF1,NSW,0.21880590766663813
GOONSF1,NSW,0.21114078549798354
GULLRSF1,NSW,0.20325091901188957
HILLSTN1,NSW,0.2261079120024206
JEMALNG1,NSW,0.22525811891720696
JUNEESF1,NSW,0.18517312975222516
LIMOSF11,NSW,0.1821177756979155
LIMOSF21,NSW,0.22077179661826804
MANSLR1,NSW,0.1464706564374476
METZSF1,NSW,0.20823901453958457
MOLNGSF1,NSW,0.13518545926277814
MOREESF1,NSW,0.2642803348524815
NEVERSF1,NSW,0.24972917131738284
NEWENSF1,NSW,0.1700405404574641
NEWENSF2,NSW,0.19769466718259307
NYNGAN1,NSW,0.2434702861353407
PARSF1,NSW,0.24698769272410753
SEBSF1,NSW,0.21517399452968142
STUBSF1,NSW,0.0011440250389622294
STUBSF2,NSW,0.008733228143705574
SUNRSF1,NSW,0.20147037006309898
SUNTPSF1,NSW,0.20051555557613784
WAGGNSF1,NSW,0.13638976545151102
WELLSF1,NSW,0.21145939201782865
WELNSF1,NSW,0.19098750882552376
WRSF1,NSW,0.19576105931807988
WSTWYSF1,NSW,0.1904814812995432
WYASF1,NSW,0.18847331738389847
BLUEGSF1,QLD,0.22101194729137147
CHILDSF1,QLD,0.20596542268702459
CLARESF1,QLD,0.2163454925719721
CLERMSF1,QLD,0.24607161249847959
COLUMSF1,QLD,0.19710200987873716
CSPVPS1,QLD,0.24209189240482273
DAYDSF1,QLD,0.24788786919946937
DDSF1,QLD,0.2183229739681174
EDENVSF1,QLD,0.23049484616136323
EMERASF1,QLD,0.22584209989610046
GANGARR1,QLD,0.12018658931124891
HAMISF1,QLD,0.24005955678243318
HAUGHT11,QLD,0.23682692475911102
HAYMSF1,QLD,0.21891407457960835
KEPSF1,QLD,0.1862458803641209
KINGASF1,QLD,0.1330513935474537
KSP1,QLD,0.2739609921643806
LILYSF1,QLD,0.2155827896928024
MARYRSF1,QLD,0.22756979902274985
MIDDLSF1,QLD,0.2297955193126061
MOUSF1,QLD,0.22735741738657014
OAKEY1SF,QLD,0.2107871623411178
OAKEY2SF,QLD,0.2013769886282433
RRSF1,QLD,0.25231234593746465
RUGBYR1,QLD,0.2825265331164419
SMCSF1,QLD,0.15009320637592338
SRSF1,QLD,0.2062371647247309
WANDSF1,QLD,0.16473151315669837
WARWSF1,QLD,0.13230517413419518
WARWSF2,QLD,0.12601906815076658
WDGPH1,QLD,0.15750302776082714
WHITSF1,QLD,0.1930712692560162
WOOLGSF1,QLD,0.1662444956717705
YARANSF1,QLD,0.20351947518050603
ADPPV1,SA,0.09200284048742495
BNGSF1,SA,0.24569973878909512
BNGSF2,SA,0.23156134089086333
BOWWPV1,SA,0.11394656205913116
HVWWPV1,SA,0.10728293961253237
MANNSF2,SA,0.10325581023378098
MAPS2PV1,SA,0.12229985129002102
MAPS3PV1,SA,0.08791046323486647
MBPS2PV1,SA,0.1312501478747826
MWPS1PV1,SA,0.1784727404062158
MWPS2PV1,SA,0.20340339476260938
MWPS3PV1,SA,0.16509111791883302
MWPS4PV1,SA,0.20344727895563625
PAREPS1,SA,0.1820050743351005
TB2SF1,SA,0.10431426801201565
TBSF1,SA,0.17475674539157598
BANN1,VIC,0.18542488153905382
COHUNSF1,VIC,0.09259416792557343
GANNSF1,VIC,0.23275608659136868
GIRGSF,VIC,0.09614700639646917
GLENSF1,VIC,0.19832157265721603
GLRWNSF1,VIC,0.19742623106060606
KARSF1,VIC,0.2065827769960368
KIAMSF1,VIC,0.17718212731008065
MOKOSF1,VIC,8.111287238325281e-05
NUMURSF1,VIC,0.20685657914053474
WEMENSF1,VIC,0.1779971014401766
WINTSF1,VIC,0.17612257742961834
WUNUSF1,VIC,0.023875566693583115
YATSF1,VIC,0.18591960821893042
