Quarter,BANN1,COHUNSF1,GANNSF1,GIRGSF,GLENSF1,GLRWNSF1,KARSF1,KIAMSF1,MOKOSF1,NUMURSF1,WEMENSF1,WINTSF1,WUNUSF1,YATSF1
2020-03-31,0.13981199523368198,,0.04700119157950483,,,,0.06513967959751092,,,0.03866013504567722,0.1010194624652456,,,
2020-06-30,0.059711372964385015,,0.07281874751754269,,,,0.09665033761419303,,,0.05110552098503906,0.06805242949821264,,,
2020-09-30,0.12716081718177055,,0.13907805133577789,,,,0.10646935568360398,,,0.05932425353588266,0.15584075432163436,,,
2020-12-31,0.05513357778941854,,0.1105290728129911,,,,0.12349397590361445,0.3322420115243583,,0.10856469355683604,0.10830277632268204,,,
2021-03-31,0.02436412315930388,0.9614457831325302,0.021954484605087015,,,0.6024096385542169,0.03199464524765729,0.0179384203480589,,0.1214190093708166,0.10843373493975904,,,0.3908969210174029
2021-06-30,0.08261617900172118,0.48510525618959355,0.10088706474248643,,,0.12564543889845095,0.09267840593141798,0.08804448563484708,,0.12432146167085927,0.10075466701972727,0.6036012180590494,,0.15927446047927976
2021-09-30,0.1961760083813515,0.4197223677317968,0.3072289156626506,,,0.15819800942902043,0.07608695652173914,0.13397066526977475,,0.23061812467260345,0.36642221058145624,0.394185437401781,,0.09782608695652174
2021-12-31,0.26126244106862234,0.8985070717653222,0.045966474594028285,,,0.17430591932949188,0.22917757988475643,0.03954950235725511,,0.3046097433211105,0.6107909900471451,0.19015191199580933,,0.21987951807228914
2022-03-31,0.11512717536813923,0.9472556894243641,0.09210174029451138,,,0.2963855421686747,0.0749665327978581,0.3852744310575636,,0.20816599732262384,0.3836680053547523,0.06867469879518072,,0.36987951807228914
2022-06-30,0.13372169998676023,0.39030848669402884,0.08539653117966371,,,0.18390043691248512,0.08698530385277373,0.28770025155567325,,0.17317622136899247,0.16589434661723818,0.1705282669138091,,0.1102873030583874
2022-09-30,0.09612362493452069,0.19604504976427448,0.071110529072813,,,0.09088528025144055,0.062205343111576744,0.107255107386066,,0.24436877946568883,0.21372446306967,0.14339968569931902,,0.13017286537454165
2022-12-31,0.0928496595075956,0.33093242535358824,0.08473022524882137,,,0.1680199057097957,0.1039811419591409,0.26558407543216345,,0.49855945521215295,0.0821110529072813,0.2794656888423258,,0.17011524358302776
2023-03-31,0.11927710843373494,0.1286479250334672,0.04176706827309237,,,0.23239625167336012,0.08366800535475234,0.10093708165997323,,0.49852744310575636,0.1037483266398929,0.23386880856760375,,0.1291834002677376
2023-06-30,0.08605851979345955,0.2033629021580829,0.0959883490003972,,,0.187739970872501,0.08645571296173706,0.12405666622534092,,0.24189063948100092,0.07798225870515027,0.20376009532636039,,0.11412683701840329
2023-09-30,0.2790728129910948,0.15112624410686223,0.11877946568884233,,,0.22970141435306443,0.29164484023048715,0.14431639601885804,,0.39064955474070195,0.28496595075956,0.2894185437401781,,0.18844944997380828
2023-12-31,0.15832896804609745,0.4836301728653745,0.13488737558931377,,,0.31299109481403875,0.3994237820848612,0.2066526977475118,,0.5675746464117339,0.2425353588266108,0.4062336301728654,,0.3826610790990047
2024-03-31,0.2361975374023567,0.24083145769892758,0.05534224811333245,,0.36091619224149346,0.24361180987687012,0.2074672315636171,0.07453991791341188,,0.3790546802594995,0.2833311267046207,0.27419568383423804,,0.22706209453197404
2024-06-30,0.18932874354561102,1.0,0.08380775850655368,,0.08857407652588375,0.0828809744472395,0.6886005560704356,0.08142459949688866,,0.152389778895803,0.1842976300807626,0.08235138355620283,,0.13848801800609029
2024-09-30,0.26008381351492926,1.0,0.2008905185961236,,0.22695128339444737,0.24567836563645887,0.16906757464641173,0.143268727082242,,0.2033787323205867,0.2682032477737035,0.47367731796752227,,0.19106862231534835
2024-12-31,0.2425353588266108,1.0,0.08996856993190151,0.5106076479832373,0.12585123101100051,0.465557883708748,0.1646149816657936,0.16697223677317968,,0.35162388685175483,0.24476165531691985,0.6716867469879518,,0.2782870612886328
