DUID,Technology,Capacity factor
ADPPV1,Solar,0.09200284048742495
BNGSF1,Solar,0.2456997387890951
BNGSF2,Solar,0.23156134089086333
BOWWPV1,Solar,0.11394656205913116
HVWWPV1,Solar,0.10728293961253237
MANNSF2,Solar,0.10325581023378098
MAPS2PV1,Solar,0.12229985129002102
MAPS3PV1,Solar,0.08791046323486645
MBPS2PV1,Solar,0.1312501478747826
MWPS1PV1,Solar,0.1784727404062158
MWPS2PV1,Solar,0.20340339476260938
MWPS3PV1,Solar,0.165091117918833
MWPS4PV1,Solar,0.20344727895563625
PAREPS1,Solar,0.1820050743351005
TB2SF1,Solar,0.10431426801201563
TBSF1,Solar,0.17475674539157598
BLUFF1,Wind,0.2686692047723252
CATHROCK,Wind,0.2515068653356728
CLEMGPWF,Wind,0.33216374397823395
CNUNDAWF,Wind,0.24874598155575034
GSWF1A,Wind,0.055853910171045476
GSWF1B1,Wind,0.001590359780800624
HALLWF1,Wind,0.32169211301691725
HALLWF2,Wind,0.33243476835296043
HDWF1,Wind,0.39336966792433503
HDWF2,Wind,0.37026306272139015
HDWF3,Wind,0.3704979576050215
LGAPWF1,Wind,0.35929215545161797
LGAPWF2,Wind,0.34411932712099275
LKBONNY1,Wind,0.19973370795438802
LKBONNY2,Wind,0.2302384837175867
LKBONNY3,Wind,0.22091778281874483
MTMILLAR,Wind,0.23293767496297224
NBHWF1,Wind,0.33618271116551735
PAREPW1,Wind,0.30145931739462073
SNOWNTH1,Wind,0.33002602498868144
SNOWSTH1,Wind,0.37211900050236674
SNOWTWN1,Wind,0.34780389366587483
STARHLWF,Wind,0.2520746241630337
WATERLWF,Wind,0.30401465675304895
WGWF1,Wind,0.3357944192739356
WPWF,Wind,0.2895132866495069
