30-min interval,Solar,Wind
0,-0.010977367268746579,786.227683892994
1,-0.011068409505564676,783.132058704616
2,-0.007665068874293012,777.1698627499544
3,-0.0033889823937237724,771.2179417232256
4,-0.0026759400656814446,765.2115307092683
5,5.108648056923991e-05,762.4915311079183
6,0.0051479150702426575,757.8584584277504
7,0.0035565412333515792,752.6138581034483
8,-0.00896114258347017,747.5637511010764
9,-0.009313820470717023,744.123552330779
10,-0.012039256066411238,738.6741333771209
11,0.4462133018609743,734.5333914691662
12,5.454848409961686,729.2632574639665
13,20.26586320790002,717.7106246852765
14,46.47457400200693,698.4028099420726
15,83.35123538359788,671.1802235563765
16,124.99759555601167,637.8004442683816
17,165.27505301952198,602.1624219412516
18,194.36704254013864,566.5918175510856
19,212.52343875296478,536.474102044335
20,222.2547080733443,514.0128270748951
21,226.46488559569423,498.345870704251
22,225.86219978197408,484.1756086243386
23,224.06839208629813,473.6762948773034
24,221.45635308383504,469.76097976920266
25,218.0004579246488,468.19340751094694
26,215.4595245452472,469.61255041917536
27,212.67034322660098,475.1202080961503
28,210.88820667305237,484.8158397920088
29,209.12642021665755,501.44128354223676
30,209.06061887292466,521.6233898421821
31,206.84895732621786,544.4915855596607
32,198.90846037721218,571.7370161621967
33,178.11564947910963,599.4158833670863
34,143.95153327449373,626.0922201578179
35,100.53722841771575,649.4653929771026
36,58.5514618162744,675.5413075889436
37,26.03901818783069,700.5391817373654
38,7.130840682813355,721.8253390193395
39,0.5460206700419631,740.2658719982668
40,-0.010290349844918811,753.4120703078818
41,-0.011361712278781244,766.3243051614669
42,-0.009947667852581646,777.4343509428023
43,-0.011985804597701148,784.9783202093596
44,-0.009332936051815361,787.5200064664294
45,-0.010623947728516695,788.3941299197227
46,-0.011142855774493705,787.7062821428572
47,-0.009412712096332786,787.1616549840357
