Quarter,Total demand
2020-03-31,1215.7343368437118
2020-06-30,1334.1354838217337
2020-09-30,1369.3069289704106
2020-12-31,1096.6818478260868
2021-03-31,1170.4780702160492
2021-06-30,1298.3909748931624
2021-09-30,1314.7860854468597
2021-12-31,1027.1262469806763
2022-03-31,1283.3678182870372
2022-06-30,1395.5490060286936
2022-09-30,1505.5505483846619
2022-12-31,1135.2848071407004
2023-03-31,1237.6337962962964
2023-06-30,1384.776456043956
2023-09-30,1341.824658816425
2023-12-31,1080.5982057669082
2024-03-31,1259.9175019078145
2024-06-30,1369.8974103327228
2024-09-30,1393.5895731431158
2024-12-31,1076.9634714673914
